Rank_info,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
178,kimberly.loaiza,78,590,35500000,2600000,5.23%,1800000,1600000000,Mexico
179,barackobama,81,660,35400000,1100000,1.19%,411500,739500000,United States
180,sachintendulkar,76,1000,35300000,800400,2.03%,664500,810000000,
181,simonemendes,72,4400,35000000,420000,0.65%,222900,1900000000,Brazil
182,ivetesangalo,84,7600,34800000,226400,0.36%,121100,1700000000,Brazil
183,lunamaya,83,4100,34800000,145400,0.17%,58600,589600000,
184,toni.kr8s,83,940,34700000,597200,1.68%,533500,561300000,
185,dannapaola,68,1900,34700000,1500000,3.49%,1200000,2800000000,Mexico
186,paollaoliveirareal,84,4600,34700000,367800,0.57%,192300,1700000000,
187,blakelively,80,110,34600000,3100000,0.02%,0,350900000,United States
188,adidasoriginals,83,150,34200000,136200,0.20%,66800,21200000,
189,disney,77,7300,34200000,185200,0.44%,132000,1400000000,United States
190,shaymitchell,83,6300,34100000,732400,0.73%,247500,4600000000,United States
191,bmw,79,9300,33700000,231300,0.23%,76500,2200000000,Germany
192,danbilzerian,84,1400,33600000,2000000,3.58%,1200000,2800000000,Canada
193,khabib_nurmagomedov,63,4500,33500000,685100,0.67%,220700,3100000000,Russia
194,zidane,41,370,33500000,1100000,1.61%,532700,391900000,France
195,sonamkapoor,75,4800,33300000,264700,0.63%,209200,1300000000,India
196,iambeckyg,71,2300,33200000,623800,1.40%,464700,1400000000,United States
197,nancyajram,81,3800,33200000,390400,0.64%,208000,1500000000,France
198,luansantana,79,770,33200000,193300,0.26%,82600,149200000,Brazil
199,nickjonas,78,2300,33000000,719600,1.42%,467700,1700000000,United States
200,raisa6690,80,4200,32800000,232200,0.30%,97400,969100000,Indonesia
